,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
81,Grand Wachau Cruise Melk - Krems - Melk,Day Trips,5 hours,$39.60,per adult,Free cancellation,By DDSG Blue Danube,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d2164336-Reviews-DDSG_Blue_Danube-Vienna.html
82,Mozart Requiem Concert at St. Charles Church in Vienna,Classical Concerts,1 hour,$37.33,per adult,Free cancellation,By Antonio Vivaldi 4 Seasons Karlskirche,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d7160224-Reviews-Antonio_Vivaldi_4_Seasons_Karlskirche-Vienna.html
83,Exclusive Vienna Old Town Highlights Walking Tour (max. 10 persons),City Tours,2–3 hours,$109.86,per adult,Free cancellation,By Good Vienna Tours,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d10206417-Reviews-Good_Vienna_Tours-Vienna.html
84,Small-Group Guided Kayak Tour of Vienna,Adventure Tours,3 hours,$106.35,per adult,,"By Venture Vienna - Private & small-group hiking, wine and kayaking tours",Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d16794975-Reviews-Venture_Vienna_Private_small_group_hiking_wine_and_kayaking_tours-Vienna.html
85,Vienna Naschmarket Food Tour,Walking Tours,2–3 hours,$54.31,per adult,,By GTOUR Genusstouren,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d8019366-Reviews-GTOUR_Genusstouren-Vienna.html
86,The best of Vienna on foot,Walking Tours,2–3 hours,$21.50,per adult,,By Mario Casalone - MarioViennaGuide,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d20251940-Reviews-Mario_Casalone_MarioViennaGuide-Vienna.html
87,Vienna Highlight Tour-yue walk,Private and Luxury,2 hours,$49.78,per adult,Free cancellation,By Yue Mayr,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d17556196-Reviews-Yue_Mayr-Vienna.html
88,Skip-the-Line Schonbrunn Palace Guided Tour and Vienna Historical City Tour,Bus Tours,3–4 hours,$62.73,per adult,Free cancellation,By Vienna Sightseeing Tours Wiener Rundfahrten GmbH & Co.KG,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d19467592-Reviews-Vienna_Sightseeing_Tours_Wiener_Rundfahrten_GmbH_Co_KG-Vienna.html
89,Konzerte der Wiener Royal Orchester,Classical Concerts,2 hours,$50.91,per adult,,By Wiener Royal Orchester,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d2076429-Reviews-Wiener_Royal_Orchester-Vienna.html
90,Albertina Museum Ticket and Access to Self-Guided Tours in Vienna,Monuments and Memorials,90–120 minutes,$36.20,per adult,Free cancellation,By Lokimo Audio-Guided tours,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d23761274-Reviews-Lokimo_Audio_Guided_tours-Vienna.html
91,Skip The Line to the Zoo & Access to the Self-Guided Tours in Vienna,Zoo Tickets & Passes,2–3 hours,$39.60,per adult,Free cancellation,By Lokimo Audio-Guided tours,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d23761274-Reviews-Lokimo_Audio_Guided_tours-Vienna.html
92,Entrance tickets for the KUNST HAUS WIEN. Museum Hundertwasser,Attractions & Museums,1–2 hours,$10.18,per adult,Free cancellation,By KUNST HAUS WIEN. Museum Hundertwasser,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d191401-Reviews-KUNST_HAUS_WIEN_Museum_Hundertwasser-Vienna.html
93,Salzburg and Alpine Lakes Tour from Vienna,Bus Tours,6+ hours,$134.63,per adult,Free cancellation,By 7 Travel,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d8121398-Reviews-7_Travel-Vienna.html
94,Skip the Line: Imperial Treasury of Vienna Entrance Ticket,Attractions & Museums,1 hour,$17.26,per adult,,By Kaiserliche Schatzkammer Wien,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d246451-Reviews-Kaiserliche_Schatzkammer_Wien-Vienna.html
95,Skip the Line: Hard Rock Cafe Vienna Including Meal,Attractions & Museums,2 hours,$24.96,per adult,Free cancellation,By Hard Rock Cafe Vienna,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d7647115-Reviews-Hard_Rock_Cafe_Vienna-Vienna.html
