,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
81,White Water Camping At Elora Gorge (2 Day),Adventure Tours,2 days,$322.04,per adult,Free cancellation,By Lake Fever Wilderness Co.,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d17591963-Reviews-Lake_Fever_Wilderness_Co-Toronto_Ontario.html
82,Niagara Falls Day Tour from Toronto Airport,Adventure Tours,6+ hours,$103.86,per adult,Free cancellation,By Zoom Tours Niagara Falls,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1627398-Reviews-Zoom_Tours_Niagara_Falls-Toronto_Ontario.html
83,Toronto Pass for 2 Guided and 7 Self-Guided Walking Tours,Full-day Tours,1 day,$23.50,per adult,Free cancellation,By Vox City Toronto & Niagara,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d23416812-Reviews-Vox_City_Toronto_Niagara-Toronto_Ontario.html
84,Private Arrival Transfer in Toronto Pearson International Airport (YYZ),Bus Tours,40–60 minutes,$35.00,per adult,Free cancellation,By Elife Limo,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d23172014-Reviews-Elife_Limo-Toronto_Ontario.html
85,Luxury Niagara Falls Day Tour,Full-day Tours,6+ hours,$103.86,per adult,Free cancellation,By Airlink Niagara Falls Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1891074-Reviews-Airlink_Niagara_Falls_Tours-Toronto_Ontario.html
86,Toronto Scavenger Hunt: The Wonders of Old Toronto,Self-guided Tours & Rentals,2 hours,$12.31,per adult,,By Let's Roam Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d20098806-Reviews-Let_s_Roam_Toronto-Toronto_Ontario.html
87,Toronto Obsession III Dinner Boat Cruise,Night Tours,3–4 hours,$116.18,per adult,,By Cruise Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d8283628-Reviews-Cruise_Toronto-Toronto_Ontario.html
88,Private Departure Transfer to Toronto Pearson Airport (YYZ),,45 minutes,$72.03,per group,Free cancellation,,Toronto,Canada,
89,Private Toronto Arrival Transfer - Pearson Airport to Hotel/Accommodations,,1 hour,$63.07,per adult,Free cancellation,By Elite GTA Airport Limousine/Taxi,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d10077573-Reviews-Elite_GTA_Airport_Limousine_Taxi-Toronto_Ontario.html
90,Kensington Market By The Sidewalk Food Tour,Walking Tours,2–3 hours,$56.78,per adult,,By By The Sidewalk Food Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d14195112-Reviews-By_The_Sidewalk_Food_Tours-Toronto_Ontario.html
91,Abstract Acrylic Paint Pouring Adventure,Painting Classes,1–2 hours,$32.20,per adult,Free cancellation,By Fresh Paint Studio + Cafe,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d19682778-Reviews-Fresh_Paint_Studio_Cafe-Toronto_Ontario.html
92,Market2Market,Walking Tours,150–180 minutes,$28.90,per adult,Free cancellation,By Buzz Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d12289740-Reviews-Buzz_Tours-Toronto_Ontario.html
93,Discover Toronto's Waterfront with a Smartphone Trivia Game!,City Tours,90–120 minutes,$5.63,per adult,Free cancellation,"By Tripvia Tours: Smartphone Audio Tours | Toronto, ON",Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d21388935-Reviews-Tripvia_Tours_Smartphone_Audio_Tours_Toronto_ON-Toronto_Ontario.html
